EventName	LSTofGrennwichTaskStart	TaskStartTime	TaskEndTime	EventStartTime	EventEndTime	TargetStartPosX	TargetStartPosY	TargetStartPosZ	TargetEndPosX	TargetEndPosY	TargetEndPosZ	SystemPosEventStartX	SystemPosEventStartY	SystemPosEventStartZ	SystemPosEventEndX	SystemPosEventEndY	SystemPosEventEndZ	SystemPosTaskStartX	SystemPosTaskStartY	SystemPosTaskStartZ	SystemPosTaskEndX	SystemPosTaskEndY	SystemPosTaskEndZ	PowerDODEventStart	PowerDODEventEnd	SSDRbitsES	SSDRbitsEE	
t68	130.4651133337	2454680.0000000000	2454680.0000578705	2454680.0000000000	2454680.0000578705	-4729.1135041012	-3452.6667776979	2528.8750815883	-4727.8543241807	-3454.3908148639	2528.8750815883	6678.0000000000	0.0000000000	0.0000000000	6677.7982711093	36.2985540581	13.2116557037	6678.0000000000	0.0000000000	0.0000000000	6677.7982714488	36.2985245667	13.2116449696	0.0000000000	0.0005000004	0.0000009546	0.0000009546	
t68	130.5068940214	2454680.0001157406	2454680.0001736111	2454680.0000578705	2454680.0001736111	-4726.5945258881	-3456.1143789428	2528.8750815883	-4725.3340891165	-3457.8374974432	2528.8750815883	6677.7982711093	36.2985540581	13.2116557037	6676.9625816744	108.8926741260	39.6338795453	6677.3804267313	72.5955846007	26.4227568904	6676.9625820139	108.8926446347	39.6338688112	0.0005000004	0.0011000007	0.0000019092	0.0000019092	
t68	130.5486748771	2454680.0002314816	2454680.0002893517	2454680.0001736111	2454680.0002893517	-4724.0730241680	-3459.5601562654	2528.8750815883	-4722.8113413652	-3461.2823413243	2528.8750815883	6676.9625816744	108.8926741260	39.6338795453	6672.9789698123	181.3763208594	66.0158941912	6675.0712423290	145.1379937684	52.8261594145	6672.9789715122	181.3762914158	66.0158834746	0.0011000007	0.0017000011	0.0000028638	0.0000028638	
t68	130.5904555648	2454680.0003472222	2454680.0004050927	2454680.0002893517	2454680.0004050927	-4721.5490205711	-3463.0040801067	2528.8750815883	-4720.2860721033	-3464.7253585239	2528.8750815883	6672.9789698123	181.3763208594	66.0158941912	6668.7944281787	253.8529161541	92.3953423113	6670.8867006955	217.6145890631	79.2056075346	6668.7944298787	253.8528867105	92.3953315946	0.0017000011	0.0023000014	0.0000038184	0.0000038184	
t68	130.6322362525	2454680.0004629628	2454680.0005208333	2454680.0004050927	2454680.0005208333	-4719.0225062998	-3466.4461625023	2528.8750815883	-4717.7583029935	-3468.1665195067	2528.8750815883	6668.7944281787	253.8529161541	92.3953423113	6664.6098865452	326.3295114488	118.7747904313	6666.7021590619	290.0911843579	105.5850556547	6664.6098882451	326.3294820052	118.7747797147	0.0023000014	0.0029000017	0.0000047730	0.0000047730	
t68	130.6740171083	2454680.0005787038	2454680.0006365739	2454680.0005208333	2454680.0006365743	-4716.4934725175	-3469.8864154596	2528.8750815883	-4715.2280252250	-3471.6058362987	2528.8750815883	6664.6098865452	326.3295114488	118.7747904313	6660.4253449116	398.8061067436	145.1542385514	6662.5176174284	362.5677796526	131.9645037747	6660.4253466116	398.8060773000	145.1542278347	0.0029000017	0.0035000020	0.0000057276	0.0000057276	
t68	130.7157977960	2454680.0006944444	2454680.0007523149	2454680.0006365743	2454680.0007523149	-4713.9619409191	-3473.3248094667	2528.8750815883	-4712.6952299482	-3475.0433208976	2528.8750815883	6660.4253449116	398.8061067436	145.1542385514	6656.2408032780	471.2827020383	171.5336866714	6658.3330757948	435.0443749473	158.3439518948	6656.2408049780	471.2826725947	171.5336759548	0.0035000020	0.0041000024	0.0000066822	0.0000066822	
t68	130.7575784837	2454680.0008101850	2454680.0008680555	2454680.0007523149	2454680.0008680555	-4711.4279026808	-3476.7613565402	2528.8750815883	-4710.1599388901	-3478.4789438152	2528.8750815883	6656.2408032780	471.2827020383	171.5336866714	6652.0562616445	543.7592973330	197.9131347915	6654.1485341612	507.5209702420	184.7234000148	6652.0562633445	543.7592678894	197.9131240748	0.0041000024	0.0047000027	0.0000076368	0.0000076368	
t68	130.7993593395	2454680.0009259260	2454680.0009837961	2454680.0008680555	2454680.0009837965	-4708.8913489397	-3480.1960686679	2528.8750815883	-4707.6221432138	-3481.9127170586	2528.8750815883	6652.0562616445	543.7592973330	197.9131347915	6642.5214574712	615.6830660909	224.0913695559	6648.4907326957	579.8453380293	211.0474415913	6642.5214623212	615.6830369727	224.0913589577	0.0047000027	0.0053000030	0.0000085915	0.0000085915	
t68	130.8411400271	2454680.0010416666	2454680.0010995371	2454680.0009837965	2454680.0010995371	-4706.3523014552	-3483.6289163857	2528.8750815883	-4705.0818340432	-3485.3446526058	2528.8750815883	6642.5214574712	615.6830660909	224.0913695559	6630.5829167222	687.3584639778	250.1792042886	6636.5521919467	651.5207359162	237.1352763241	6630.5829215722	687.3584348597	250.1791936904	0.0053000030	0.0059000033	0.0000095461	0.0000095461	
